Original_Value,Scrambled_Value
BVoIP-pIPBE-Labs,oIVEPs-aIbBLP-pB
USP-PSX-Labs,USbXLPs--aPS
USP-8YY-N4E-Labs,bLSUY--a48Y-NsEP
ALU 3G MSC,L C UGA3MS
VNI-EMS-Labs,SL-abVM-NIsE
AuthenticID,etniDIhutcA
LAB-Sonus-EMS,LsESABSnMuo--
LAB-Sonus-PSX,Bs-XL-uSnoAPS
LAB-Sonus-DSI,-SBI-suSAnDoL
VNI-PSX-Labs,a-XVNsI-bSPL
ACC CLM TOOL,LLCA CCOO TM
GICECAP-CCMAP,EPCG-CPMCIACA
USP-EMS-Labs,-SPUSME-Labs
ATCS CSMS, MCCSTSSA
Acme-EMS,SAM-cemE
ATTIP SFDC,TCDPTS FAI
(FED) - EM ABS,-MSAE)F B ( DE
CB:LWA:AI,CWAIA:B:L
RFD:AI,FDARI:
EC:CMP:AI,:A:IECCPM
Noname,meanoN
GRP-NETSYS-SE,NESST-GPY-SRE
SAM,AMS
NR-SEPP,-PPERSN
MRG,RGM
PMOSS_GPR,GRS_OMPSP
DES-CoE,-EoDECS
CAICI,ICICA
ESRS,SRSE
CS-ETL,CLSE-T
CS-MON,-NMSCO
BSSe-SkyFM,-BSMySSFke
BSSe-SV,SSSeBV-
GRP-Reclass-MGMT,MGPMTGc-Rea-ssRl
Digital IDP,gDItaPliD i
Wi-Fi Cloud Auth,iAi d-Fuhl tWuoC
CWFive9,9viCeWF
LCAT,LATC
SOD,OSD
PSIX-CCWR,-CSCPWRXI
BICEP,ECBPI
DATA,DAAT
SHE IBM HTTP Web Server,rEWePb SHI e SHMevTT Br
GRE-SS-A,-SSGA-ER
S1-Prompt,-mtprP1oS
BEAM,EMAB
CSO-ENC-TEAM,AOM-CE-STECN
EMPAT,PTAME
CFDP,FPDC
Viva Engage,v aiVngEage
UEBA,EUBA
OFFHSM,MSFOFH
myWiz,ziymW
GRP-GREEN,EERNG-GRP
WPFT,PWTF
MS Stream,MSrmS tea
ESP,PSE
COPAC Tool,AooC lPTOC
FLSA,ALSF
PPTM,PTPM
itWorkOrders,koedsrtirOWr
NTRS - BVS,-TSV RSBN 
PTM,PTM
LML-LMA,-MLALML
CCDM,DMCC
N-SNOW,O-SWNN
ACS-SG,C-SGAS
ALLOY-CM,LMCOYLA-
NSAS_ELASTIC_CLOUD,_ISACESLDOAC_TNSUL
ALLOY-XLOGIC,CLYXIGL-OLOA
XL,XL
ESD,SDE
DCAE,ADCE
EN-SNOW,SOWEN-N
GRP-NIS-SATTERLEE-MALOO,GSSTEP-TEIAONLRARLO-EM-
IPPF,IPPF
BRC-NOW,RNBWO-C
NETWORK-CCR,EOW-RCNKRTC
MURS,URSM
BOOM Dynamic Defense,e m aiBOMsynncefDDOe
DARP,DRPA
GP,PG
PAL-ABS,AB-PLAS
GRP-PDE-Voice,ecEiGRPPo--DV
GTA,GTA
HVD-VDI,HDVDV-I
HVD,VDH
REAPER,ERPEAR
GC,GC
Astra support,ptpuas Asrotr
ALRT,TRAL
TCC Web,beTWCC 
AVT,TVA
NOWMACD,CMNODWA
NOWCSIAPI,OINIPSAWC
ETP,TPE
NOWDIGMACD,WDGDMIOCNA
NOWRC,WONCR
CDP/Runtime/CSI,i/m/CuRSDnteCIP
Harness MDP,PrMDenaHs s
SDVW-CODER,RCDVEWDS-O
CDP/Runtime/ACS,uSCeAn/D/RtmiPC
CDP/Runtime/ACW,C/WCAm/etiDPRnu
CDP/Runtime/CDO,C/iumPCDtD/eOnR
CDP/Runtime/ABS,SBiReuACnPmt/D/
CDP/Runtime/PSP,inPue/mSPCDPtR/
CDP/Runtime/ANS,tiSn/eNRm/DPuAC
SCCM,SCCM
DICA,DAIC
RU,RU
CDP/Runtime/Kepler,/DrenRt/KepmleuCPi
CONCORDIA,NOCRDOAIC
CorpFin-AB,BpAnio-FrC
GEMSTAR,AMETGSR
NOWFBBNI,BNOINWFB
NA-Server,rAeSre-vN
SN GWS-FD,-DN GSFWS
ATS-ASG-PSL-DEV,E-PDAV-TSGLAS-S
SoftwareSymposium,spyufowatoimSrmSe
CLYDE,LDEYC
EXECUSTAR,ECUSTEXRA
SDRP,DRPS
(FED) - uDAS,AS-uFDED) ( 
Mant,aMnt
RSA,ASR
KeyCyP,CPKyye
CTP,PCT
Insight,htisIng
VIEW AND ANALYZE INVENTORY,DRA NEEVN IW YLEYZITNAVNOA
NSAS-NEON,NNSASNE-O
BMKL,LKBM
GWS-REM-CoStar,GaSRoEr-CWM-tS
GRP-AKA CSO Security,y-rcGS  uiSeAtPCRAKO
EOS-OSS,SOSSOE-
USSDB,DSUBS
CNIS - Cloud RAN,Nu-RCA ldoSCNI  
SI-WIN-NOW,-NSWI-IWON
NOWWITTDB,OTIBTNDWW
vRAN (Lab and Production),aua dLRobAn) NnvPric o(dt
RSSVD,RSSDV
GRP-NIS-SATTERLEE-INCREMENTAL,GI-MLEEPTREEST-NENTRACSR-ANLI
SMART LNS,ALNRSSM T
youKNOW,ONoyuWK
ASKS,KSAS
GenAssist,nsAiGetss
Windsurf - CA,Wu ir-dfCn sA
AVORTEx,AEVOTRx
EIAP-EIC,ICEIEP-A
UNIMGR,GMINRU
EIAP-EOLM,EP-LAMIEO
NPM/EMAS,NEPMAS/M
BIT,ITB
EIAP-OMC,P-IAECMO
GRP-LEGACY-TVM,-GLG-YVRTEMPAC
Andrew LTE Plugin,lnTAPE Li uegwndr
CTA Enabler,areTbEAnl C
EIAP-CNIS,SNAP-EIIC
LCEG,ELCG
CMH Enabler,HCbrMl eaEn
RAN FHM,AHRMF N
CTM ABS,TBASMC 
NEMOS,SMOEN
ISB,SBI
SOUP,SPUO
EDF,DEF
TaxMgr,rMxgaT
DT-DI,-DTDI
MUIQ,MUQI
LBAI,BAIL
LCHRT,HLTRC
PIZCP-UU,ZUCIUPP-
PIZCP-RFTO,F-IPTOPRZC
GOMCCT,MCOCTG
PC-BDC,D-CBCP
CDOSSP,SOPDSC
TRAP,RPTA
CCR,CCR
RELAY HOSTS,SY TALSHROE
SAEGW-MEC-LAB-BB,B-BE-MCLS-WGEABA
PCP,PPC
OTIS,IOST
ROG,GRO
(FED) - FIRST,EIF-DR)  TF(S
SCM-SCOPE,P-CCSMOSE
WOCDT,OTDCW
Optical,licaOtp
USAGE THRESHOLD, HLODEGUTRSEAHS
GICECAP-CCOV,CCGIACPO-CVE
CRED LIMITS,DRSTIC EMIL
D4Now,w4oDN
GSC-HUB,HCU-GSB
GSC-ABSPL,AC-SBGPSL
INGOT,OGNIT
Classifier Enabler,lbalerCfnrsisia Ee
AGEO,GAOE
RAINBOW,AWBONRI
NACD,ADNC
SDM / CSN,MS SC/D N
EHS-CORITY,EYCO-IHTSR
CCDFD,FCDCD
MVMC,MCVM
eRD 2G,2 DRGe
CTXMGR- ARL,GR RAMX-CLT
RD TRAC,RT CDRA
MEDD,MDED
MVHS,MVHS
USPe FirstNet RAR,Fies rUS ARtPetNR
UPSBILLD,SIDLBULP
ODR - LDAFM,DOM F ALD-R
TDMS-LD,-MLDSDT
CPSYNC,CPYSNC
BUSMKT-LMP,LMUPKMTSB-
OUTR,ROUT
LCS-PRF,FC-PRSL
SWITCH,SICWHT
PORT,PRTO
CLTZN,TCLZN
ALLOYMULE,YEULLAMLO
ATS-BDB,SADBT-B
HCS,CSH
ATTESYGN,NTYASEGT
ATTTMS,TMTAST
ACP-TMF639,MTA36CPF-9
ACP-TMF674,64FT-7MPAC
ACP-DSI,D-PSACI
ACP-TMF720,FT-CP2M0A7
NEOMULE,UOEELNM
Appl Intf Comp,AfCIt pplop mn
NBG,GNB
LD-SIM-WHATIF,FAI-THLMW-IDS
LD-SIM,ML-IDS
ATTLRN,ATRTNL
ACP-TMF702,-A720MTPCF
ACP-TMF645,4-5PCFA6TM
ACP-TMF654,AM-CP456TF
ACP-TMF761,MC7F1P-6TA
BSquare,rauqBSe
DPG - ESDDW,GD EW PS-DD
Archer,hcreAr
GRP-SRE,E-RGRPS
Catchpoint,tntiChcoap
T Trace,reT caT
GICECAP-MECSM,C-CPCMEGIAESM
EDMCS,SCMED
NEXT TAX RECO,ONATT CEXRXE 
DRPT,RPTD
DRDB,DRBD
EXMGR,EXGMR
CCBAI-BIL,IBCBCAIL-
GRP-NSA-PMO,SRPOPG-MNA-
SLATER,RETASL
Majmundar Team,majd raunemTaM
AOFLOW â€“ (FED) â€“ EBONDING, WOG“FD€D“B(€FN)AâNOIEO LâE  
ATT Labs JIRA, LTTJR IAasAb
vF5-LAB-BB,-vL-BAFBB5
Amp-BI,BApI-m
SCCSP,SSPCC
LCLAS,LCASL
PersonalAI,salAPrnIeo
eGateway,teGaaywe
IBAM,AMBI
Deadshot,dtaDsoeh
UFDA,UDFA
IP address management tool,er asPttddeneIsa lonammog 
CFDQ,FCDQ
RRE Workflow,wWEroRfokR l
AILMT,IALMT
GRP-CSO-Solero,S-lO-PCoReorGS
FSGP,SFPG
CCMR,MCCR
SMLS,MLSS
CSO Assessment,mSessensstAC O
FTTAUTO,TUOATFT
ATS_UFD,TASDUF_
MOBNT-DNS CZ,CZNBSOM-DTN 
NIDS,ISND
HFM-Corporate,rMeoHrtaop-FC
GRP-PAIGE,RIAGG-EPP
NOWSGCA&AI,OACAWNSG&I
RL SDR,RRLDS 
GICECAP-GIST,GPSITCEGACI-
CSOPXY,YOPSXC
NOWTM,TOWNM
ATT-BDC,CTD-BTA
SACB,CSAB
Nokia cOAM,ocakiAN OM
QBCloud,dlBCouQ
MOCHI,OICHM
SSP4B,4BSPS
hCue,euCh
IPTFReqMgmt,gtMRTqemPFI
ALEXv2.0,.v2LX0EA
ALLOY-APIMGMT,MGOLPA-ALIYTM
DSPM Cyera,eaC SyMrPD
CSO-DSP,SDO-PCS
NetPAS,PNtSeA
AATT,AATT
ASKCSOWEB,EOBWCKSSA
SIMSwap,wISMSpa
MSSTP-S,SM-SSTP
BAEM,BAME
SDDA - NWS,S-WDS  DNA
SMMW,MWSM
iGEMSTGIF,TIGEiGFMS
AON-ENT-VNFG,NOGV--TFNEAN
CFAS-ICE,FCI-CSAE
KeyFactor,yeaKFrotc
VSDzProtect,VSztctorPDe
FNMOBT,TOFMBN
OVTNS,NSTVO
CDME,EDMC
BIAM-ILM,I-ALMBIM
GRP-FEC,CERFP-G
GRP-CDO COMP,- GCRODOCPPM
NOWPRBM,MNRPWBO
IBI Mgmt,gBMtm II
JSTASK,SKTASJ
HVDEUSAUT,DVATSHEUU
DDET,TDED
TKMGR,MKTRG
PCMST,SPTMC
RDT,TDR
ATT_ISR_Website,TSbtA_eiITesWR_
SSEASE,ASEESS
FLEET,FETEL
FLEET-DOTTS,EEOTD-TFLTS
PMAP/NG,NAMG/PP
CSO-SRM,RM-OSCS
IntNet,ntIeNt
UMPLL,LLUMP
OGSI - RM,MGSO I R-
CLEAR,CREAL
DNIND,DDNIN
RALO,LOAR
CPRI,CPIR
USPe FirstNet CNCS,  rieNsNCtSFSeCtPU
USPe CVoIP CNCS,P Se CPoCCUVNIS
ALP,LPA
GRP-ATTB-ETE/PVT,B/E-VAGTTPEPT-TR
CFAS-PA,P-ACFAS
FEED,EDFE
SIP,ISP
SPM-SAFe,SASFPM-e
QFAC,QCAF
SNCountry,orCtyuSNn
UIR,URI
SNC,SCN
SNCurrency,SyCneNrruc
SNConversionRate,NavCiSsreneoRtno
vTIL_SRV,vLV_ISTR
ETL OPS,SOLE TP
TCSTIL,TSTCIL
EOE,OEE
OTP,POT
GRP-BIGLER,IRREBGGPL-
External ASM,xaeSrEMnt lA
AEGIS-APP,ASPIP-AGE
ASM-Tenable,MSaeTeb-nAl
SCOR,OCRS
Amp-SE,AEp-mS
vPAS,PSvA
IDP-CTX-Evt-HUB,XPEHIBT--DtUCv-
cBBT,BcTB
ALLOY-INLAP,-IAYLLAOLNP
ACIAP,IAPAC
RCAGenAI,AGACeRnI
HCEV-USP,UV-SPEHC
MCAN-SAT,MTCA-NAS
NCM/NCLM,NLNC/CMM
SIA-ES,ISE-AS
GRP-DATA-ATS,TT-SRAPAD-GA
CCDR,CRDC
N4,4N
TSIPortal,PSartlTIo
Siemens CSVP,CeS VmnPiSes
MBMS,MMBS
NOWSGCCommons,GomoNSWOnmCCs
(FED) - YODA,O)-E(A D DYF
ContractAI,conICatAtr
CWI,CIW
SN-MOSS,S-NSSOM
Platform Global Automation,roaitoP n bmltulaGmtAolfao
NACT,TCNA
NOW-TWILIO,WONOTILIW-
GRP-CDO -DM, CDDR-MPO-G
NOWCCM,OCNCMW
ACP-TMF622,A-F2CMP62T
MWL,MWL
LS-EPC,-LPSCE
vGDF CALEA,AFC GLAEDv
NKPR,KPNR
GRP-CDO-MarTech-PO,-DOR-erGaCcMTPOP-h
muckrack,cacmukkr
ISBUS,BISUS
DevOps TDM,TDesDOpv M
AMEX GBT Portal,oXaTt GlrPMAE B
KSLC,SCKL
VEL,EVL
CPF-vNF,FNPvFC-
LABEMDNS,ALBSMEND
BET 2,E2B T
LION-AD,-ILDOAN
EBR Networker,wNBot ERrrkee
BIZOPS,SBZOPI
ACSLS,CALSS
NW-S,W-SN
AVAMAR-S,ARSVAM-A
LSMDB,LMDBS
EBR Infra KM DXC,K Xf BInM DarERC
DPA,APD
IBCM,MCIB
NBU,UBN
AVAMAR,MARAAV
TPRM - CRS - SSC,  MS-RTPR  CS-SC
RLabsAssure,euaAssRrLbs
GRP-SDAL,-SPRLGAD
PAMNET,PANMTE
EMAS GD,SGA DME
ARIT,ITRA
Flexera,raeFlex
MTRX/DB,R/TXMDB
DataServ,veartaDS
PBCF,PFBC
LU/LQ,LLQ/U
SY,YS
RTD,DTR
NSP(SAM) EMS,SAS( SMPNEM)
RMW WEB,RBEM WW
Cricket AKT POS iPad,rOPdteCPK kaATi iS c
Cricket ShiftLab,ikith fbtSercLCa
PCTCD,CTCPD
GRPITA,APITGR
ABSWeb,SWeBAb
PassportTraining,arntrTiiagnssPpo
WRM,MRW
CALEAPLXLab,XbELPLaACAL
Chgman,nhCmga
SAMSN,SMANS
AT&T-MicroStrategy,roAMagtyTri&ctT-eS
ARDB,BDRA
TDSZ,TZSD
MEASURES,MEUSRSAE
ADO,OAD
CTGLDC,CGLTCD
Kodex,exdoK
MOWDR,DORWM
AOTS-NEISA,SATS-AIENO
ECRT,CTRE
NCTA,NACT
SMART-M,TSM-AMR
SGC-INTUNE,TEUG-CNISN
Bot Defender,drtn feBeeoD
FDMS,MFSD
OPDL,DPOL
HVAC-FAT,A-AVHTFC
ALMLH,MHALL
ACsync,AnCcys
ALM,ALM
SGC-JAMF,-MJCFASG
HAMWS,HSAMW
ALMDEP,MPEDLA
WAOUTIL,OIWATUL
ALMOracle,LMeaOclAr
GRP-CDO GOV,DVRGOOP GC-
TRENDI2.0,20ERTNI.D
ossm,smos
PAGP,GPAP
USPe CNCS,CCN SSUPe
GRP-ESPWA,GPERPA-SW
CSO MAST,O SSATMC
ICSA,ASCI
FUDAHEMS,UAFSHMDE
BWSFMC - Biz POC,CPiB- WFOzBCM  S
DSC,CSD
SOS,SOS
NOWPlatMonitor,rWNoOPlaMtnoti
DID,DDI
OSD-INFRA,AISDFRON-
DCT,CDT
AGN Client,nGtCNlei A
PAI,IPA
MW WRL/DSL ROBQ,BWDLMS  QOLWRR/
LYNX,YXLN
AAWC,WACA
GRP-IBM ProjMgmt,r-IPgmjRPBM MGot
CRE-EHSSTA,ETSH-ACESR
captionconductor,ptoocctcdruannoi
GFP-CPE,G-EPCFP
GWS EDS,S SDWGE
mptool,loopmt
CCAX,CXAC
ARKFPS,KAPRFS
OWP,POW
CRU-MRU,MUUR-RC
CTTPT,TCPTT
MICAPI,PIMACI
INTL-MECM-CMG,NMLGCTIEMC-M-
GFP-CPE-I,IPEG-PF-C
Teletool,elTeltoo
ICL,LIC
GRP-Cons DDS Team,nms DCReaG DPoT-S
ACVP,CVPA
IOTDP,DTOIP
ScanLogic,inLSgocca
LoopCare,eLaroCop
IDP-Web-WS,-IP-WebDWS
GRP-Crestron,PrRotnCrGs-e
NGN NSEP AS,SNENA NGP S
ATT - OBE,A -OB TTE
ACVG,CGVA
Web-WL-Srv,bLWr-S-Wve
TTM ESInet Test Lab, IMsbSETteTTea L tn
PC-DTT,DTTP-C
NOWAD,DAONW
CSOACASMS,MASSOSCAC
myWAN,NyWAm
SAEGW-UP-LAB-BB,A-BGWB-PABUE-LS
MRTG,GTMR
JAMF_INTL,MLIAJFT_N
BIAM-AM,BAAM-IM
AT&T-CCC,T-CA&CTC
EENB,EENB
NgNB,NNBg
CNELS,CSLNE
EVA Chatbot, EtAhVaCbto
Cricket CFS,CCtSFrck ie
SecExp,cxeSpE
SNVC,NCSV
PC-OCI BI,CICB-O PI
FNF,FFN
SDDA - Materials,eMtl-ar sADD Sai
Power Apps /Power Automate/Copilot Studio,we/pPrw o AstuSuAood pioaottieroCetP/plm 
CSO-AMP,COP-AMS
IDP-PCI-ECARE,-AC-PIDPIEERC
CorpFin-EPCMCS,o-rCCpiMFPCnES
CODB,DCOB
ADUF,FAUD
RIGA,ARGI
ICO-STLMT,TI-OMLTSC
BIG-RAO,OAR-IGB
CPECRM-ACS,-CPCMSAERC
OOASYS,SOSOAY
IntlHRU,RHnlUtI
IDP-MTS,SP-TDMI
Waldo,oalWd
PLACES,AEPSCL
TUPLOS,TLOUSP
LZS,LZS
NGxProbe,orNexGPb
RiR,RiR
SL,SL
AIMS (MIDAS),MAA)(DI ISMS
TRO,OTR
RR,RR
FN-NGxProbe,oFePGNb-xNr
911SAAS-Motorola,-to9lorA1MS1aoAS
911SAAS-Intrado,9-dSrSAtnI1oA1a
PMV,VPM
Nexus,exuNs
5520 AMS,5S25MA0 
TPRM-CRS,PSRRMCT-
EEE - L,E L-E E
RUBIX,RUIXB
MURAL,ARMUL
ST,ST
iTrack ZETM,a MirZTEcTk
NUCLEUS,EUNCULS
ATTMS,TTMSA
PagerDuty,DyPgurtae
(FED) - DTV-ASMM,DVEM D-TSF()-M A
FORESEE,EOERSEF
GCSC,CCSG
BTFY,FTBY
SOCI,SOCI
RTHM,RMTH
ATTNETPRTL,TTPNETLRAT
APX,XPA
CAAT,CATA
WP Engine,engEniPW 
GRP-CQE Digital Automation IST,imT oQgtttAS i-oni alaIuDCPGER
UPM.PB,.PUMBP
ALPALLOY,OLLPYLAA
SOAI,AOIS
MCAP,MACP
wifi-con_mon,_owinfnio-cm
GRP-CQE ECS,C -PRCQEGSE
CMRI,CRIM
"Suzy, Inc","yIcnu,z S"
BERA,AEBR
wifi-con,-ocinwif
HR Access,seRccsHA 
SIDTEL,ITLEDS
SDST,TSSD
DTVCOMP,DTOMCPV
GICECAP-ENWT,TEWECNGIC-AP
wifi-con_prov,w_-fcpriooinv
GRP-CQE QoS,EQQCRP-GS o
iDeskOp,sODeikp
wifi-cloud-conf,-cwodl-ififnouc
FNMCB,FCNBM
WSTD,DWTS
TSB,BST
FN-EXFO-IPMon,XIE--FOFonNPM
LNS | LH Sitetracker,  tiLkLra c|eHSSretN
RDA,DRA
DTV UVM2,V2 VUDTM
pltdse,pdltse
ATS-IDC-GT,TA-TICGS-D
ATTGOV-AiTPA,TPG-AiOATVAT
CQE AI Analytics,IailA sEn CycAQt
GEO-AI-PRFND,FOPE-NIGDA-R
LMRIWF,RWLFIM
TONGO,TOOGN
CUCMP,CCUPM
Pricer-D,rrPD-cei
CS-IDM,ICMS-D
LFP,FLP
IDP-GitOps,GPI-iDsOpt
Infobip,fiIbnop
DSCAT,STCAD
A1Cert,treCA1
GICECAP-FPP,PAFG-PCPCEI
MPMOD,PMODM
CATM,CATM
TWILIO,WLTOII
MSSTR,RTMSS
vEPDG,GPEvD
ADP,PDA
SNOWCS,SCWNOS
DDwPAN,ANwDPD
ADA,AAD
MSSUPM,PMUSSM
(FED) - CM,)C( DF -EM
GICECAP-AIAB,CCGAP-AIBAEI
TD-CC,TDCC-
AT&T GSMS,S GS&TTAM
Smarsh,aSrmhs
SDS-O,DS-OS
ABSS,BASS
"CCM, Clarify, CM",",CMrC,ia fMClyC "
PC GLOBES,GCOE PLSB
HR-Boomi,-BHRmioo
AndiSense,enniAesdS
POI,OIP
MCE,EMC
ETO IPR,PEOT RI
AT&T Oversight,iTvsAhrOe gT&t
CKPI Enabler,lCnarIPEeK b
SSB,SSB
PPR,RPP
MWP,MWP
WT-DHUB,BDU-WHT
Andi AI Assistant - Business,ns-siu dAAisAi stansB  sntIe
IES-EdDescen,Ec-SEdIsDene
HR-AI Agentic,RtnIi e-gAcAH
ALPEMS,EMSLAP
SAOP-AHA,SAHPA-OA
OMG,GOM
SEUFOWEB,WBOUEFSE
WITv2,vTIW2
GICECAP-CDT,CPGD-CACETI
GICECAP-SHAKEN,HEICGSNA-ECKPA
GICECAP-IFO,OIGPFCI-ACE
(FED) - NBO,(D )EBFO-N 
GICECAP-Map Editor,tA EiPaprdEoCI-MCG
GICECAP-NIM,CGMP-ICNAEI
CEMG-CL,LG-CEMC
NetOpsITOM,pONTMOesIt
IOTAZURE,EUZIRTOA
LBE,LBE
ICORE,ECIRO
Novetta,totvNea
ESIGN,ESNIG
SSDF,SFDS
GRP-CQE Digital,gia CDQRliGEP-t
ATTCV,TCTAV
ESON,NSEO
Levo,vLeo
BOOST,OBOST
BSET,TSBE
SASDPTINTAKE,PADATNTISSKE
ICS,ICS
IDP-WS WLN,I WW-PSDNL
GESP,GPSE
GICECAP-IAPM,EGPAI-IMCAPC
ATT-Titan,tinTA-TTa
GRP-CQE BSS,G-RQS PEBCS
GRP-CQE ACC,QC-CRC AEGP
TSP,SPT
DATE,AETD
wifi-dci,ifidcw-i
CCSC,SCCC
MPCFNNOW,FWNPONCM
MEC POC, PECMOC
FED - HiPro,irF-P DEo H
(FED) - Sales Express,)Ds(-EssF  xaleprES e
CENET,TCENE
QLP,LPQ
Enabler - C,b eal-EnCr 
DNC,DNC
HR Data Hub, DbaaRt uHH
BazaarV,aBzaaVr
ATTAWARDS - CompConnect,pWTATnmonDSRAAectC-  oC
WPM,MWP
ADOPT-Hosting,gtoATn-OsHiDP
wifi-orchestration,ofrchantiowr-etsii
ADSL-GIS,-LADSSIG
TTS,STT
ACEGA,AGECA
CTT - MOW,OW  CMTT-
CDPLATFORM,OFAPTLRDCM
MCT,CTM
MIC-NT,TCNMI-
RAN-P,AR-PN
CTT-1,T1TC-
PRA,APR
attsuppliers,iletapsusrpt
Mediation Data Garage,aGaaregeDiMota  iatdn
RSAG,GARS
FirstNet SOC Portal,FN tSte OCralrioPts
FirstNet IM-MA, it-AtMMNIrFse
PFAI,PFIA
SEI,SIE
Ask Auto,k AAutso
IDP-CAMS,-ACSPMDI
IDP-IDM,PI-IDDM
SSDQ,QSSD
ATTMO,OTATM
FRVT,VFRT
HR-MPT,TP-MHR
ABS-SPAR,AA-BPRSS
vUSP - v3CDB TAS StateDB, CDBvBD et P T3AUSSt-vaS
SkyRecon,kncoeySR
Fluently,nltlyFeu
Cisco CEMF/SCM,SsM/CFcioC CEM
BAMS,ABMS
CRE-EMS-U&SS,U-ESESC-S&MR
ENUM DNS USP,M UE UNPNDSS
AEBO,EOAB
LABOPSSYNC,OCYPSASLBN
JSL,LSJ
ATSPacketScan,cctkPneaAaSST
FLEXCOM/CNM,NOFME/MXLCC
CSO-ENSS-Panorama-GWS,SCnrSaNaSP-omaG-WSOE-
Nortel WNMS EMS,  NeSMWrtSMlENo
TSG interface,aGeTi Srfncet
RANATSSS,SNRTSASA
SyncTrac,SnTaccyr
GVS,GVS
ARCPLUG,AUCGLRP
MOBNT-NEM-ARP,-B-PORANTMMNE
PITS,SPTI
DANA,ADAN
NTT,TNT
SysE,sESy
NEC-EMS-100A-DWDM,WSAEDD---00ENMM1C
LabOps-mySup,ymubOpLasp-S
GeoProbe-NIS,PIeob-SrGNoe
Metasys ADX,ysDasXMAte 
LabOps-DF,-FLaDbpsO
LabOps-AF,psLAOb-aF
Tarantella,aelnaatrTl
CITRIX FARM,RI XIMRAFCT
SC,CS
Lucent Naviscore,cNvLnaroe ucetis
MPSL,PSLM
FRAMEMATE,AEREMFATM
AEBOM,MEABO
MOSAIC,ISAMCO
LabOps-AQUABM,b-BUQAMaOAsLp
FTT,TTF
MONITOR3,OTI3OMRN
1320NM,20N31M
CSUNIX,SNXUCI
CNOTE,TNOEC
Switchvox ,o vciwSxth
ANTSE,ANTES
LSLAB,LSLBA
EMFL,MFEL
GSS,SSG
Fiberstar,sriFbrate
OV ASI, OIVSA
CatenaView,etnaCiweaV
MarcView,wcVMirea
GT,GT
SpiderCloud,ieurolSdpCd
Fusion-vTA,i-snuFTovA
HCA,HAC
CVT,CTV
IFCCM,FICMC
LabOps-RCON,CsROpObL-aN
AGN Tridium,GNiTm Audri
EPC-PNA,PP-CAEN
SDS,DSS
RAN ALARMS,N RARAASML
CATT-MTT,-CMTTTAT
ART-B,T-ABR
NFSD,SNDF
atsl2tools,oastltol2s
P/SIMS,MIS/PS
WDGT,TDGW
LASSO,SASOL
NTPT Scorecard,aSerrNPc dcoTT
LB Tools,BsLo loT
PAT MT,T ATPM
Tellabs Panorama (1090-W),brW-1T 00llPe9s aa(nmoaa)
NuT,NuT
EJF,JEF
CENX,XNEC
EASEL,ELEAS
ARPCAS,SPRAAC
DCN-COMS,C-SDNMOC
CHTS,TSHC
MNEST,EMTSN
ACMS,CMSA
TEMS,SMET
CSBH-PNV,VCBNSP-H
DLTN,NLDT
ARIS,ARSI
wifi-speed,pifseeiwd-
LABOPSPWAPBI,PAWBLIPPBSAO
ASIP FEV,PVFAE IS
ELCOM,EOLCM
CIENA-ON-CENTER-EMS,CME-EAC-NIERSOEN-NT
Pathfinder,terndPhifa
Ciena ONM (a.k.a. Nortel ONM),Caa. (io)NNNMr tn e.lkOe.aM O
OTN-EMS-CIENA,SEMNITEO-CAN-
Remedy (remedy),R me)(yedyrdeme
TICKETS,CSITKET
DSX/FOX,FDSOXX/
TN Tracker,kcTrareN T
ENet,NEet
POPIS,PIPOS
CNOSWAT,TCNWASO
MARS LNS, MASSNRL
IRIS LNS,NLI ISSR
5620 NM,26 50NM
INPI TT, ITTNPI
ELComm,LmCEom
INPI SG, ISPNGI
Naviscore SE,scaNeor iEvS
Nokia NCM,NaN CokiM
Fusion-Controller,ror-FCnisnoltoeul
AOE/EOCU,U/AOEOEC
TAEMS,SMATE
AMS (EMS),SEM)AM (S
ISC,ICS
Entriview,wntvEiier
AMS-W,AM-SW
CWM ANS,AM CWSN
Ciena HSC,H eiCaSCn
InfoHunter,ItnrfoHuen
TABdb,TAdBb
Total Access EOC, eTCsaotl cEcOsA
Waveflow,eolWvwfa
1353NM,NM5313
NuTWLN,LNTNWu
wifi-cas,sfaw-cii
1641SX,X4116S
PTA,APT
NVAMN West,NA esMVWNt
TN Request,sNuRq tTee
PMOSS_WIPM,PMSMOIPWS_
OMEA-EMS-NORTEL,EMNLO-TSAOEMER-
NVAM,VAMN
NMTC,TCMN
ADS,SDA
TNT,NTT
D@N,@ND
HIT-7500,7HI-50T0
EPC-PPM,PME-PPC
LabOps-DataWarehouse,hrDaWsoubaesOtapLe-a
JSPACE,CESJPA
LabOps-DNSManagement,MnpNOasDbn-LeaSematg
SSCAN,ASCNS
LAB-Pristine,PArBen-iiLts
SIDNI,NIIDS
N4E,NE4
EnergySST,ErSneTygS
ATSSLR,SATSLR
NNCS,SNNC
MTS,MST
REM - EMS,  MS-EMRE
GESTALT,AESTGLT
CSRepo,oepCSR
DOCS,DSOC
NPC,CPN
ADATS,ADTAS
PCNEC,EPCNC
CNUM - SE,- U SECMN
inov8,v8noi
OREMIS/TROUT,ISE/TRURTOMO
HCCS,CHSC
INPI,PINI
NS1500-EMS,15E-S0SMN0
Netsmart,rNeasttm
SDC,DCS
